Protocol	X-coordinate	Y-coordinate
UDP	32.411278	0.005144
UDP	32.852888	0.005187
UDP	33.294497	0.005223
UDP	33.736107	0.005254
UDP	34.177717	0.005279
UDP	34.619326	0.005299
UDP	35.060936	0.005312
UDP	35.502546	0.005320
UDP	35.944155	0.005323
UDP	36.385765	0.005320
UDP	36.827375	0.005311
UDP	37.268984	0.005297
UDP	37.710594	0.005276
UDP	38.152204	0.005250
UDP	38.593813	0.005218
UDP	39.035423	0.005179
UDP	39.477033	0.005134
UDP	39.918642	0.005083
UDP	40.360252	0.005024
UDP	40.801862	0.004959
UDP	41.243471	0.004887
UDP	41.685081	0.004808
UDP	42.126691	0.004721
UDP	42.568300	0.004628
UDP	43.009910	0.004528
UDP	43.451520	0.004421
UDP	43.893129	0.004307
UDP	44.334739	0.004187
UDP	44.776349	0.004062
UDP	45.217958	0.003931
UDP	45.659568	0.003795
UDP	46.101178	0.003654
UDP	46.542787	0.003510
UDP	46.984397	0.003363
UDP	47.426007	0.003214
UDP	47.867616	0.003062
UDP	48.309226	0.002910
UDP	48.750836	0.002758
UDP	49.192445	0.002606
UDP	49.634055	0.002456
UDP	50.075665	0.002307
UDP	50.517274	0.002161
UDP	50.958884	0.002018
UDP	51.400494	0.001879
